rcept_dt,corp_cls,corp_name,stock_code,report_nm,rcept_no,flr_nm
20251203,Y,롯데에너지머티리얼즈,020150,최대주주등소유주식변동신고서              ,20251203800341,롯데에너지머티리얼즈
20251203,Y,대웅제약,069620,최대주주등소유주식변동신고서              ,20251203800339,대웅제약
20251203,K,넥사다이내믹스,351320,주식등의대량보유상황보고서(약식),20251203000227,와이에이치투자조합 1호
20251203,Y,종근당,185750,임원ㆍ주요주주특정증권등소유상황보고서,20251203000225,종근당홀딩스
20251203,E,신보2022제15차유동화전문유한회사,,자산유동화관련중요사항발생등보고서(기타),20251203000224,신보2022제15차유동화전문유한회사
20251203,Y,삼성중공업,010140,임원ㆍ주요주주특정증권등소유상황보고서,20251203000223,권혁수
20251203,Y,HLB글로벌,003580,주요사항보고서(자기전환사채만기전취득결정),20251203000211,HLB글로벌
20251203,E,파워큐브세미,,증권발행실적보고서,20251203000222,파워큐브세미
20251203,E,DB김준기문화재단,,공시대상기업집단의특수관계인으로부터채권매수,20251203000221,DB김준기문화재단
20251203,K,셀피글로벌,068940,[기재정정]소송등의제기ㆍ신청(경영권분쟁소송)              (주주총회결의 취소청구),20251203900302,셀피글로벌
20251203,K,아로마티카,0015N0,임원ㆍ주요주주특정증권등소유상황보고서,20251203000220,케이씨삼호투자
20251203,Y,HLB글로벌,003580,주요사항보고서(자기전환사채만기전취득결정),20251203000201,HLB글로벌
20251203,Y,종근당,185750,최대주주등소유주식변동신고서              ,20251203800330,종근당
20251203,K,아로마티카,0015N0,주식등의대량보유상황보고서(일반),20251203000219,케이씨삼호투자
20251203,K,넥사다이내믹스,351320,주식등의대량보유상황보고서(약식),20251203000218,이노베이션
20251203,Y,삼성중공업,010140,임원ㆍ주요주주특정증권등소유상황보고서,20251203000217,황원준
20251203,E,아이비케이투자증권,,투자설명서(일괄신고),20251203000216,아이비케이투자증권
20251203,Y,우신시스템,017370,주식등의대량보유상황보고서(일반),20251203000215,허우영
20251203,E,메리츠증권,008560,투자설명서(일괄신고),20251203000214,메리츠증권
20251203,Y,종근당,185750,주식등의대량보유상황보고서(일반),20251203000213,이장한
