source,target
0,5754
5754,0
1,5961
5961,1
2,5097
5097,2
3,5721
5721,3
4,5024
5024,4
5,5873
5873,5
6,6059
6059,6
7,5234
5234,7
8,6007
6007,8
9,6104
6104,9
10,5721
5721,10
11,5868
5868,11
12,5800
5800,12
12,5754
5754,12
13,5113
5113,13
13,6100
6100,13
14,6007
6007,14
14,6141
6141,14
14,5097
5097,14
14,5014
5014,14
15,5635
5635,15
15,6098
6098,15
16,6149
6149,16
17,5859
5859,17
18,5014
5014,18
19,6059
6059,19
20,5752
5752,20
20,5999
5999,20
21,5955
5955,21
22,5868
5868,22
23,5324
5324,23
24,5960
5960,24
24,5156
5156,24
24,6123
6123,24
24,5208
5208,24
25,5456
5456,25
26,5900
5900,26
26,5525
5525,26
27,6090
6090,27
27,5002
5002,27
27,5728
5728,27
28,5752
5752,28
28,5999
5999,28
29,5754
5754,29
29,5533
5533,29
29,5629
5629,29
29,5469
5469,29
29,6140
6140,29
29,5845
5845,29
29,5494
5494,29
29,5416
5416,29
29,5326
5326,29
29,5788
5788,29
29,5002
5002,29
29,5221
5221,29
29,5671
5671,29
29,5506
5506,29
29,6158
6158,29
29,5717
5717,29
30,5978
5978,30
31,5539
5539,31
31,5614
5614,31
32,5920
5920,32
33,5274
5274,33
33,5102
5102,33
33,5635
5635,33
33,5024
5024,33
33,4974
4974,33
33,5549
5549,33
33,5266
5266,33
33,5882
5882,33
33,5728
5728,33
34,5322
5322,34
34,5405
5405,34
35,5455
5455,35
35,5544
5544,35
36,5002
5002,36
36,5900
5900,36
37,5097
5097,37
37,5019
5019,37
37,5990
5990,37
37,5796
5796,37
37,5002
5002,37
37,5728
5728,37
37,5721
5721,37
37,5572
5572,37
37,6063
6063,37
38,5961
5961,38
39,5234
5234,39
40,6104
6104,40
41,5606
5606,41
42,5754
5754,42
43,5014
5014,43
44,5721
5721,44
45,5635
5635,45
45,5177
5177,45
46,5006
5006,46
46,5637
5637,46
46,5859
5859,46
47,5752
5752,47
47,5999
5999,47
48,5221
5221,48
49,5540
5540,49
50,6090
6090,50
51,5721
5721,51
51,5266
5266,51
52,5146
5146,52
52,5844
5844,52
52,5645
5645,52
52,5002
5002,52
52,6086
6086,52
52,5602
5602,52
52,6053
6053,52
52,5492
5492,52
53,5635
5635,53
53,5177
5177,53
54,5006
5006,54
55,5107
5107,55
56,5697
5697,56
57,5234
5234,57
57,6094
6094,57
58,5445
5445,58
58,5473
5473,58
58,5190
5190,58
59,5721
5721,59
60,5006
5006,60
61,6004
6004,61
61,5728
5728,61
62,5721
5721,62
63,5002
5002,63
64,5213
5213,64
65,5540
5540,65
66,5721
5721,66
67,5002
5002,67
67,5266
5266,67
67,5433
5433,67
67,5365
5365,67
68,5324
5324,68
69,5097
5097,69
69,5324
5324,69
69,5079
5079,69
69,5053
5053,69
69,5770
5770,69
69,5365
5365,69
69,5999
5999,69
70,5305
5305,70
71,6007
6007,71
72,5002
5002,72
72,5885
5885,72
72,5365
5365,72
72,5728
5728,72
73,5324
5324,73
74,5324
5324,74
75,5940
5940,75
76,5414
5414,76
76,5592
5592,76
77,4933
4933,77
78,5506
5506,78
78,5545
5545,78
79,5883
5883,79
79,5603
5603,79
80,5097
5097,80
81,5679
5679,81
82,5785
5785,82
83,5506
5506,83
84,5558
5558,84
85,5324
5324,85
86,5506
5506,86
86,5281
5281,86
87,5730
5730,87
88,5077
5077,88
89,5362
5362,89
90,5640
5640,90
91,5831
5831,91
92,5640
5640,92
93,5605
5605,93
93,5891
5891,93
93,5809
5809,93
93,5561
5561,93
93,5892
5892,93
93,5145
5145,93
93,5728
5728,93
94,5721
5721,94
95,5721
5721,95
95,5324
5324,95
96,5324
5324,96
97,5706
5706,97
97,5051
5051,97
98,6058
6058,98
99,5905
5905,99
99,5128
5128,99
100,6059
6059,100
101,5706
5706,101
102,4933
4933,102
102,5936
5936,102
103,5603
5603,103
104,5324
5324,104
105,5786
5786,105
106,5086
5086,106
106,5395
5395,106
106,5190
5190,106
106,5801
5801,106
106,5147
5147,106
106,5872
5872,106
107,5006
5006,107
108,5386
5386,108
109,5372
5372,109
109,5697
5697,109
110,5545
5545,110
110,5324
5324,110
110,5828
5828,110
110,5506
5506,110
110,5161
5161,110
111,5086
5086,111
111,5506
5506,111
111,4962
4962,111
111,5097
5097,111
112,5315
5315,112
113,5721
5721,113
113,5324
5324,113
114,5515
5515,114
115,5149
5149,115
115,5777
5777,115
116,6098
6098,116
117,5151
5151,117
117,5525
5525,117
118,5572
5572,118
118,5414
5414,118
118,5413
5413,118
118,5097
5097,118
119,5161
5161,119
120,5751
5751,120
120,5728
5728,120
121,5572
5572,121
121,5414
5414,121
121,5413
5413,121
121,5097
5097,121
122,5045
5045,122
123,5211
5211,123
124,5721
5721,124
125,5718
5718,125
125,5679
5679,125
125,5324
5324,125
125,5752
5752,125
125,5578
5578,125
126,5885
5885,126
126,6114
6114,126
126,6073
6073,126
126,5189
5189,126
126,5782
5782,126
126,5749
5749,126
126,5699
5699,126
126,4983
4983,126
126,6091
6091,126
126,5285
5285,126
127,5183
5183,127
128,5706
5706,128
129,5605
5605,129
129,5891
5891,129
129,5809
5809,129
129,5561
5561,129
129,5892
5892,129
129,5145
5145,129
129,5728
5728,129
130,6007
6007,130
131,4983
4983,131
131,5506
5506,131
132,5506
5506,132
133,5728
5728,133
134,5272
5272,134
134,5017
5017,134
135,5728
5728,135
136,5018
5018,136
136,6105
6105,136
136,5599
5599,136
136,5818
5818,136
136,6096
6096,136
136,5549
5549,136
137,5506
5506,137
138,5183
5183,138
139,5292
5292,139
140,5728
5728,140
141,5288
5288,141
142,5131
5131,142
142,5038
5038,142
142,5238
5238,142
142,6029
6029,142
142,5494
5494,142
142,5128
5128,142
142,5326
5326,142
142,5511
5511,142
142,5921
5921,142
142,6158
6158,142
143,5360
5360,143
144,5324
5324,144
144,5828
5828,144
145,5486
5486,145
146,5077
5077,146
147,5752
5752,147
147,5679
5679,147
147,5324
5324,147
147,5718
5718,147
148,5014
5014,148
149,5506
5506,149
150,5506
5506,150
150,6156
6156,150
151,5360
5360,151
152,5272
5272,152
153,5131
5131,153
153,5038
5038,153
153,5238
5238,153
153,6029
6029,153
153,5494
5494,153
153,5128
5128,153
153,5326
5326,153
153,5511
5511,153
153,5921
5921,153
153,6158
6158,153
154,5803
5803,154
155,5721
5721,155
155,5679
5679,155
155,5324
5324,155
156,6139
6139,156
156,6059
6059,156
156,5673
5673,156
156,5503
5503,156
157,5689
5689,157
158,5449
5449,158
159,5506
5506,159
160,5324
5324,160
161,5924
5924,161
161,5002
5002,161
161,5721
5721,161
161,6090
6090,161
161,5728
5728,161
162,5261
5261,162
162,5728
5728,162
163,5018
5018,163
163,6105
6105,163
163,5599
5599,163
163,5818
5818,163
163,6096
6096,163
163,5549
5549,163
164,5575
5575,164
164,6120
6120,164
164,5232
5232,164
164,5567
5567,164
164,6012
6012,164
164,5734
5734,164
164,4922
4922,164
164,5788
5788,164
164,5199
5199,164
164,5500
5500,164
164,5383
5383,164
164,5134
5134,164
164,5561
5561,164
164,5964
5964,164
164,5488
5488,164
164,5443
5443,164
164,6110
6110,164
164,5733
5733,164
164,6033
6033,164
164,5985
5985,164
164,6052
6052,164
164,5548
5548,164
165,5019
5019,165
165,5506
5506,165
166,5506
5506,166
166,5281
5281,166
166,5545
5545,166
167,5325
5325,167
168,5640
5640,168
169,5786
5786,169
170,5272
5272,170
171,5403
5403,171
172,5679
5679,172
173,5786
5786,173
174,5147
5147,174
175,5097
5097,175
176,5097
5097,176
176,5079
5079,176
176,5770
5770,176
176,5053
5053,176
176,5365
5365,176
176,5999
5999,176
177,5506
5506,177
177,6072
6072,177
178,5603
5603,178
179,5640
5640,179
180,5506
5506,180
181,5266
5266,181
181,5433
5433,181
182,5161
5161,182
183,5679
5679,183
184,5212
5212,184
184,5272
5272,184
185,6007
6007,185
185,5766
5766,185
185,6140
6140,185
185,6141
6141,185
186,5686
5686,186
186,5190
5190,186
186,5226
5226,186
186,6067
6067,186
186,5420
5420,186
186,6053
6053,186
186,5077
5077,186
186,5728
5728,186
187,5002
5002,187
187,5686
5686,187
187,5266
5266,187
187,5728
5728,187
188,5002
5002,188
188,5266
5266,188
188,5728
5728,188
189,5266
5266,189
190,5440
5440,190
190,5844
5844,190
190,5976
5976,190
190,5506
5506,190
190,5322
5322,190
190,5492
5492,190
190,5975
5975,190
191,6137
6137,191
192,6156
6156,192
192,5146
5146,192
192,5366
5366,192
192,5887
5887,192
192,5416
5416,192
192,5324
5324,192
192,5266
5266,192
193,5473
5473,193
193,6123
6123,193
193,5208
5208,193
194,5019
5019,194
194,5002
5002,194
194,5770
5770,194
194,5873
5873,194
195,5752
5752,195
196,5145
5145,196
197,5386
5386,197
198,5818
5818,198
199,5728
5728,199
200,5147
5147,200
201,5752
5752,201
201,6033
6033,201
202,5635
5635,202
202,5752
5752,202
202,5014
5014,202
203,5836
5836,203
204,5440
5440,204
204,5844
5844,204
204,5976
5976,204
204,5506
5506,204
204,5322
5322,204
204,5492
5492,204
204,5975
5975,204
205,6156
6156,205
206,5496
5496,206
207,5185
5185,207
208,6123
6123,208
208,5938
5938,208
209,5367
5367,209
210,5742
5742,210
210,5134
5134,210
211,5742
5742,211
212,5742
5742,212
213,5416
5416,213
213,5944
5944,213
214,5153
5153,214
214,5147
5147,214
215,6140
6140,215
216,5742
5742,216
216,5134
5134,216
217,5567
5567,217
217,4939
4939,217
217,5801
5801,217
217,5476
5476,217
217,5369
5369,217
217,6023
6023,217
217,5785
5785,217
217,4992
4992,217
218,5692
5692,218
219,5651
5651,219
220,5728
5728,220
221,5635
5635,221
