source,target
005380,005940
228760,321550
179900,488280
001270,036570
004370,145170
001040,071050
039490,066570
042660,207940
187870,462510
002920,198940
053800,078860
003230,214450
003530,016360
005960,006800
020120,207760
010240,036890
000150,003470
108490,319400
035900,039490
025540,105550
413630,454910
009680,241690
064960,071850
004710,009140
032640,051900
166480,287840
078890,187870
138360,195990
035460,095190
046390,317530
096350,138070
096350,240600
021820,053700
010660,195990
249420,488280
000660,068270
042370,469610
024120,066590
003540,034020
037950,054920
007810,222800
004170,004270
003580,108860
0096B0,0096D0
042660,214370
024880,138070
000120,278470
005380,028260
001500,160190
046210,187420
002700,017250
039490,082740
012450,064350
003670,253450
002990,005960
003670,006400
001500,006800
003530,051910
013700,454910
000850,064850
000660,064850
042660,217500
013310,200880
271560,280360
035760,097950
010690,066590
066130,270660
065680,115530
004270,044340
037270,041510
004840,378850
032800,041510
054950,128940
263720,432430
003540,023160
014990,025980
030210,060980
034730,095610
006880,017810
056080,455900
016610,104620
000950,001200
059090,183300
016360,051910
005380,267260
226950,298380
078590,130500
001820,005680
001080,001430
005930,034730
003540,017800
033780,051910
142210,440110
001290,128940
003670,012450
212560,310870
099190,187870
015230,210540
010100,024740
003470,441270
452200,469750
161890,192820
010120,078020
005940,071840
011320,033250
004170,078020
072990,368770
005930,047810
019770,123700
035460,474610
001510,259960
015760,034020
001510,033500
072990,318020
114810,183300
001200,005940
108490,140670
011700,019990
012280,019770
078860,352820
010820,272210
0009K0,028260
005940,271560
253590,420770
030210,039130
003530,011170
041520,078350
187790,402340
000950,042660
012280,104040
029530,332370
078600,348370
006280,064350
000660,004170
003540,187870
000660,003530
032500,218410
019680,078020
042700,080220
101680,195990
336260,475150
003470,009150
001510,010120
003540,402340
012450,016360
035620,317530
052220,063440
019550,100790
006490,018290
005940,192820
005380,064850
013520,041930
127980,356860
000370,000880
011300,306200
001380,016740
003550,016360
003490,020560
011070,035720
001500,001720
043370,085910
005940,096770
136490,279600
001200,083650
004380,101680
003530,005610
059090,475150
001510,038540
045390,064350
078020,236200
004710,042110
047400,285490
007660,207940
038880,128540
009540,028260
000540,393210
078020,086520
000500,001440
073240,145210
003540,078020
002920,048430
001040,006260
001040,039490
099220,456040
001290,298380
007810,127980
006490,051900
012450,361390
005940,032830
003550,041020
112290,445180
035720,181710
065690,131180
001430,005940
003090,185750
086390,092870
145990,272550
006800,322180
010820,065450
086390,089030
003550,051910
003530,257720
011170,373220
017250,234920
004250,205500
024910,308170
001040,078860
214270,237820
001420,064960
024880,043220
005930,327260
004960,183190
023810,336680
016610,039490
007070,009150
016360,030210
003570,092200
023000,053270
022100,317830
043200,099220
000720,017800
108490,455900
002350,004080
036930,403870
005870,012450
092130,290660
069620,128940
030200,032640
065450,272210
187870,323280
003230,260970
003540,448730
046210,047920
000660,034730
221840,289930
005930,329180
034020,241560
000100,034730
001720,373220
007660,039490
005930,012030
054540,075580
030200,034220
010130,036560
006260,082270
454910,466100
003490,049180
018670,210980
214430,221840
045660,046970
104460,388720
001820,009470
043360,096690
002920,009680
018250,023160
181710,309960
005070,247540
038880,464080
001290,011200
030610,214450
015760,078020
099440,101680
090360,466100
000270,373220
001500,060570
017390,117580
064260,338220
078930,097950
267260,329180
006340,294630
003470,003540
035420,454910
025540,336680
128540,437730
001510,066570
091580,312610
055550,316140
036200,382800
000950,024880
031510,075180
005930,036200
004380,007340
009150,234340
030200,065770
403850,419530
035420,041190
016360,161890
001560,008830
012330,073240
000880,095610
042600,248070
054450,092600
047810,272210
052690,112610
372170,382480
317450,439260
012340,126730
001510,036570
028260,402340
004370,016360
012330,016360
045660,129890
033320,046970
001720,006800
131970,405100
454910,950160
093520,248070
000880,023530
001560,008470
007460,092040
005930,140670
010660,417970
053160,210540
273060,291230
005930,356860
018880,215360
019210,092440
005940,080220
001720,041190
001040,016610
039490,293490
000430,007530
024940,234920
006800,251270
043220,092440
000660,240810
005380,034730
011320,065500
032750,065350
002390,005930
030210,207940
009830,452260
005830,086280
095910,322000
005930,100790
086390,112290
006490,451250
020400,198940
302430,452200
017670,086790
061250,214330
336680,352910
010120,388050
003530,004080
006400,469610
065690,066310
183190,198440
000950,020150
004770,365590
028260,078020
013700,302440
005940,047040
054780,464580
001750,004270
001200,004170
042700,086520
010660,129920
036420,365340
009470,126340
028050,028260
038880,279600
115160,297570
033320,129890
035000,291230
005930,009540
272210,462350
012450,448710
025560,420770
067990,450140
005940,035900
000950,042700
048550,291230
134580,297570
003470,078020
175330,244920
005930,486990
042700,053610
128540,352910
012030,038540
004090,024060
033780,456040
001510,111110
001040,276040
004100,007530
377330,437730
101330,317120
060250,181710
006800,052690
001440,294630
288620,336260
051490,312610
030210,039490
001720,035420
005935,316140
047810,065450
161580,372170
006800,090430
011370,145720
005870,451760
006800,115440
003540,010120
035420,277810
001200,047050
329180,373220
079900,084180
066310,096690
069620,086900
451760,474610
006260,192820
019540,200880
060720,441270
066570,078020
045300,348210
100790,388210
001750,078020
011320,024910
007340,195990
117730,413630
101160,166090
039490,241710
005930,900100
090080,163560
012330,122690
005830,016610
003530,012510
114190,372170
007980,340360
051600,083650
016360,051500
005930,051910
034730,060980
001290,005930
043220,138070
043220,240600
004370,005180
000880,035720
005960,183190
062040,267260
048770,388720
003550,089860
006120,302440
021650,458650
000120,003530
137400,382480
005930,353200
089590,161000
251270,352820
001560,019210
006400,361610
036220,041020
042110,065350
003470,079370
042040,222800
023800,459510
015750,038110
004700,009540
003540,103140
012450,448760
027360,338840
005940,064400
028300,278650
475430,486990
043090,234920
016610,403850
039440,160980
040160,057540
054540,083650
048550,363260
007820,388720
043220,071670
000880,085660
001500,001510
008700,234920
053060,053700
036190,130660
005940,484590
035720,078020
001500,298040
003530,192820
064820,082740
034730,459510
105550,424960
000720,015760
078020,200670
042370,336260
005380,012030
000100,100790
039740,045660
001040,253450
012330,030210
005680,012340
001040,006400
060310,276040
217620,227100
004080,005930
195940,347850
003550,456040
005830,005960
137310,329180
016360,192820
104040,113810
001510,069620
021650,067570
002880,088290
168360,360350
000850,417970
039490,105560
012340,014910
036010,127980
004490,033530
034230,114090
003580,069960
001380,012200
003470,103590
071670,100660
016360,096770
016610,253450
010140,064350
001430,460860
214370,290650
093190,318020
042420,377030
034730,402340
005680,014910
088350,452260
042660,373220
356890,430690
003540,066570
001040,003550
055550,086790
000660,486990
093380,113810
001820,126340
007660,323280
003530,032830
020400,048430
080580,098120
257370,378340
001200,141080
000950,003670
041510,173940
078600,247540
006880,248170
000660,016360
035460,272210
064350,373220
005940,009150
006800,041830
005940,122870
391710,411080
000850,129920
036930,084370
006400,066970
003570,033250
015260,066900
095700,468530
032960,080420
035420,196170
005380,267250
078020,207940
033250,308170
055490,416180
336680,377330
065420,137950
089980,091580
320000,370090
001510,336260
068930,215200
221840,274090
005940,086790
001500,215200
033170,033640
001620,130500
226950,228760
038870,137950
439260,484870
448710,474610
016360,137310
015260,036010
038870,065420
024850,195870
071840,267250
005680,417200
234920,270660
005930,030210
003540,082740
035460,214430
018880,161390
013520,163560
019210,096350
265560,317120
042700,078020
129920,195990
071050,323410
000270,017370
003470,010120
003550,012510
128540,377330
214270,351870
017250,044340
064260,145020
071970,101930
048770,056190
424960,437730
005830,316140
017250,054630
005290,445180
039560,255220
042370,488900
123570,362990
309960,456160
000660,353200
001500,128940
160550,464580
008470,100660
006660,009320
000370,085660
259630,378340
024110,055550
010140,034020
000430,012280
115500,123010
011170,307950
317450,486990
005940,034020
068050,227950
012450,016610
005930,007660
001290,030200
016360,241560
053030,207940
030610,131760
007070,015760
098460,320000
003530,136490
042040,127980
078340,189300
042700,058470
001510,005940
005380,009540
007820,056190
005380,073240
122350,122690
041510,054780
071670,101170
298040,373220
000150,454910
024910,310870
036460,053050
018250,161000
035460,065450
018500,085910
079550,327260
142210,254490
023810,352910
005930,161580
203650,356680
131100,278280
016360,055550
005380,016360
066310,332370
001510,140860
096690,131180
016360,136490
095190,462350
037070,066570
003530,111770
005935,086790
069960,267270
214180,234340
043200,313760
004840,041930
189860,388050
004990,078930
002880,012200
217190,420770
357580,382900
437730,464080
013310,123040
065690,096690
003490,036570
001530,247540
000270,307950
123570,236810
010690,024120
048410,187660
030610,086520
373220,484870
115480,419540
016360,316140
052220,322780
048910,419530
003960,017810
039490,051900
317120,336680
232140,420770
000120,042000
002920,241690
003580,047920
039490,196170
001200,042660
011390,045390
004100,023000
005420,107600
030200,160550
005870,474170
032790,049550
329180,443060
001200,001290
004960,005940
025540,352910
001290,003530
048430,198940
000810,005930
092220,093520
049550,131180
041510,097780
051910,348150
051490,354320
001560,092440
001500,161390
008770,027580
072950,429270
000850,010660
009150,298380
008470,101170
008830,019210
000880,236810
024940,044340
012860,105550
024940,054630
030210,032350
003470,066570
046970,129890
005940,187870
140860,161580
120110,138490
000270,015760
001040,097950
361610,393890
035420,329180
014950,469610
093370,104830
007810,323280
000660,030210
006840,161000
005940,402340
019210,024880
071950,290690
067390,221840
092200,310870
003540,318060
001290,458870
034020,226950
009320,215360
012330,250060
006800,035420
004710,248070
015760,052690
024120,290120
033200,264850
274400,276040
005830,064400
004380,044780
030210,096530
033830,058400
010470,035000
001040,006800
