prdy_ctrt,price_change_1,price_change_5,price_change_10,price_vs_ma5,price_vs_ma20,tr_amount_change,spread,spread_pct,buy_pressure,buy_strength,volatility_5,volatility_10,momentum_5,momentum_10,RSI_3,SMA_3,SMA_5,Disparity_5,ATR_3,Vol_Ratio,stock_code,gcn_emb_0,gcn_emb_1,gcn_emb_2,gcn_emb_3,gcn_emb_4,gcn_emb_5,gcn_emb_6,gcn_emb_7,gcn_emb_8,gcn_emb_9,gcn_emb_10,gcn_emb_11,gcn_emb_12,gcn_emb_13,gcn_emb_14,gcn_emb_15,sentiment_score,ai_score
4.78,0.0,0.0,0.0,0.0,0.0,0.0,-0.045643153526952016,-4.564315352695202,0.6596614493195829,0.7008798577116301,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,001440,0.29660556,0.2281109,-0.005802717,-0.4774871,0.30845326,0.3245187,0.2998661,-0.20986363,0.27057213,-0.16656885,0.23026952,-0.23167023,0.053715743,-0.034558225,0.15493627,0.2486168,0.6883,43.49
-2.68,-0.00421940928270037,-0.0021141649048626032,0.0,-0.002114164904861685,-0.001533661219524445,1.9887320422684596e-05,-0.00847457627118285,-0.847457627118285,0.6939322356588887,0.49268118529008803,0.0023122876746745472,0.001992209119755302,-50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,175330,-0.31313014,0.411443,-0.09006707,-0.34972572,0.17289384,0.17940375,0.20036094,-0.15945308,0.3974116,0.1882938,-0.04324471,-0.10813939,-0.2022365,-0.31305203,0.35739505,0.03176563,0.5861,67.4
-1.0,0.0006747638326585204,0.0006747638326585204,0.0006747638326585204,0.0005397382269595603,0.00047223908790361446,5.5601096735635736e-06,0.0,0.0,0.685848443977878,0.38854948507559034,0.00030176355971654864,0.00038292918049913913,10.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,138930,-0.3319007,0.43493932,-0.08824817,-0.32885832,0.12869391,0.12493104,0.21401086,-0.14212193,0.35991096,0.22759649,-0.023133263,-0.10909557,-0.19423649,-0.36050075,0.35345736,-0.013088393,0.282,64.34
2.73,0.0,0.0,0.0,0.0,-0.00011085245538188178,8.039032264495205e-05,-0.01995565410199468,-1.995565410199468,0.3641314380651818,0.4109396914440239,0.0,0.001044087109989862,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,010620,0.18482557,0.37459683,0.0040514045,-0.48047954,-0.056928676,0.15332931,0.3355635,-0.0112132635,0.4108491,-0.15226293,0.20500208,-0.18526323,-0.11992443,-0.217469,0.3504911,-0.048087172,0.8842,50.0
0.53,0.0,0.0,0.0,0.0,0.0003522367030644469,0.00020594320173517033,-0.0017605633802816282,-0.1760563380281628,0.763899635237356,0.619144602838714,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,051900,-0.12788932,0.47841632,-0.09097872,-0.42657635,0.14641638,0.14788118,0.3092811,-0.13739057,0.2789703,0.1282,0.023382498,-0.28908864,-0.24020638,-0.27105147,0.30485526,-0.06478238,0.3236,35.84
1.45,0.0,0.0,0.000843170320404818,0.00016852039096729285,0.0001263849686143888,9.802191770047486e-06,0.0008424599831507294,0.08424599831507294,0.23104350670588306,0.48122578058862353,0.0005959603408588049,0.00047846952128595486,0.0,100.0,70.25641025641025,112100.0,112740.0,1.0111761575305924,2888.888888888889,0.5357082412542795,000270,-0.5014012,0.39258987,-0.21511027,-0.17533362,-0.2412056,-0.07004808,0.25366095,0.098869145,0.15902932,0.3864766,-0.03424569,0.06362657,-0.021312296,-0.34421894,0.21272121,-0.19021815,0.1918,74.75
-1.08,0.0,0.0,0.0,-0.0007241129616219999,-0.0010405827263267242,7.952728978910528e-06,0.0018115942028985178,0.18115942028985177,0.5116768119659914,0.557701610116721,0.0018099563816890106,0.001477823318308727,0.0,0.0,61.08597285067872,527666.6666666666,535000.0,1.01682242990654,35592.59259259259,0.7960993999702539,000660,0.60077304,0.061973955,0.21726266,-0.25344148,0.012111559,0.09372935,0.18062864,-0.022901528,0.19425511,-0.41733682,0.35980076,-0.29997376,-0.10978207,-0.08198691,0.17561887,0.027393583,0.5848,36.53
-0.6,0.0,0.0,0.0,0.0,-5.060472648145234e-05,-2.0091747092165768e-05,0.0010121457489878337,0.10121457489878337,0.5616825733454872,0.40701082055860344,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,000810,0.57473046,0.08188804,0.19441204,-0.30899227,0.066371866,0.13869186,0.2130403,-0.056958713,0.2026883,-0.39454976,0.37055334,-0.2809391,-0.04155804,-0.06508148,0.15809837,0.11614532,0.5468,60.0
1.5,0.0,0.0,0.0,-0.0002462447672986646,-0.0004616094783812326,0.00010560323441666242,0.0012315270935959076,0.12315270935959076,0.5051868317981871,0.4894052316228417,0.0008702856976009656,0.0010049193255074879,0.0,0.0,46.858168761220824,78333.33333333333,78980.0,0.9989870853380476,2425.925925925926,0.5091786784002861,003550,0.022354774,0.43810847,-0.04665753,-0.45034707,-0.19268255,0.06954761,0.368904,0.08245516,0.3489205,-0.0067789136,0.19143407,-0.10762182,-0.09495522,-0.2847022,0.35621265,-0.17532557,0.0947,77.59
0.38,-0.0018691588785046953,-0.0018691588785046953,-0.0018691588785046953,-0.000748502994011948,-0.001122334455667747,4.626202812740843e-05,0.0018726591760298923,0.18726591760298922,0.26515854790636,0.6965320536034514,0.0015651058931904682,0.0013803464207361863,-500.0,-500.0,71.05263157894736,258833.33333333334,259600.0,1.0073189522342025,5481.481481481482,0.6723167083125605,005380,0.0067474996,0.41789496,-0.04375774,-0.4417912,-0.19200176,0.08801226,0.33868256,0.088167764,0.4255597,-0.02526311,0.09087172,-0.094308466,-0.14906435,-0.27551073,0.38707975,-0.119522735,-0.1264,60.0
