stock_code,gcn_emb_0,gcn_emb_1,gcn_emb_2,gcn_emb_3,gcn_emb_4,gcn_emb_5,gcn_emb_6,gcn_emb_7,gcn_emb_8,gcn_emb_9,gcn_emb_10,gcn_emb_11,gcn_emb_12,gcn_emb_13,gcn_emb_14,gcn_emb_15
000040,0.05869909,0.2927845,-0.26469788,-0.01800653,0.01075846,-0.07126142,-0.30323485,0.079567485,-0.36931998,0.21319985,-0.5285309,0.23671238,-0.25696427,0.07657946,0.2732969,-0.27046412
000070,0.33810943,0.12304088,-0.104120605,-0.29491985,0.316744,0.25247148,-0.20221001,0.42567232,0.0053374553,-0.18294474,-0.06278602,-0.3439428,0.25861296,0.087668404,-0.39402434,-0.031814966
000080,-0.092664264,-0.280986,0.06620864,0.109313905,0.27937055,0.2444785,-0.63007027,-0.33867282,0.061088,-0.050161038,-0.27416176,0.06429365,0.2031405,-0.31406784,0.04015983,-0.13984998
000100,0.30763617,0.064774014,0.08973333,-0.32444602,-0.22829956,-0.27002686,0.34050152,-0.108348176,-0.005560721,-0.1346821,0.27445063,-0.5045625,-0.10843439,-0.24996503,-0.33315724,0.042664092
000120,-0.34565514,-0.32227787,0.33339614,0.41421402,-0.20855945,0.038607314,0.1301354,-0.17301245,0.15026967,-0.007889139,0.43849167,0.28664032,0.13625108,-0.16797417,0.17229408,0.16891244
000150,-0.17530657,-0.34868088,0.223479,0.19282617,0.20886365,0.257179,-0.5485155,-0.27258995,0.053459372,-0.06510611,-0.16455211,0.053047497,0.23111492,-0.4053949,0.020877007,-0.14297467
000210,-0.42188212,-0.22748102,0.22205558,0.4611893,-0.060075723,0.06443976,-0.21535161,-0.10455951,0.05022398,0.1458972,0.061200764,0.5085978,0.1359588,-0.058612484,0.36570823,-0.036120027
000240,-0.07221642,-0.24479097,0.30309817,0.16972074,-0.19111112,-0.0057722447,0.38942996,-0.25900728,0.28348163,-0.19449186,0.56449485,-0.105073005,0.05278175,-0.049147088,-0.043381747,0.3223728
000250,-0.3394117,-0.43057147,0.3734377,0.38913205,-0.022086035,0.1741916,-0.19842142,-0.21632427,0.15592879,-0.031859618,0.1979856,0.19783767,0.24211547,-0.33923706,0.112491846,-0.03882911
000270,0.1685731,-0.113048844,0.2099526,-0.09817936,-0.14193821,-0.0722507,0.42860648,-0.35333422,0.18104862,-0.17037506,0.46216074,-0.3853163,0.0017915588,-0.10082384,-0.25676623,0.2668399
000320,0.010325843,0.21634674,-0.23494607,-0.0055808146,0.029975431,-0.09400562,-0.3758984,0.023023065,-0.32962716,0.2543541,-0.5218982,0.26714054,-0.20624712,0.01914052,0.29509965,-0.31497875
000370,-0.2196693,0.047590047,0.11911663,0.2623304,-0.4785259,-0.30894145,0.36016157,-0.12570977,-0.15380733,0.18489404,0.26004204,0.3351995,-0.23882106,-0.1251041,0.29105887,0.03603445
000430,-0.08765605,0.101157695,-0.16582984,0.13013282,0.060339343,-0.035847098,-0.48415023,-0.035278186,-0.27522302,0.26382518,-0.44267058,0.38517398,-0.082624756,-0.031132245,0.3471696,-0.2812244
000490,0.15472962,0.26096836,-0.288773,-0.17187397,0.007845365,-0.19065118,-0.26419678,-0.053572416,-0.34989694,0.23107472,-0.52831703,0.08387125,-0.2988621,-0.027074562,0.18082982,-0.31814593
000500,-0.22052795,-0.35306516,0.3143262,0.2760577,-0.10578405,0.14437337,0.33196855,-0.19294706,0.3033032,-0.14249595,0.49262926,0.107470274,0.12699828,0.08400716,0.08058804,0.27572873
000540,0.33779904,-0.06911117,0.14215711,-0.29891077,-0.008924438,-0.08598293,0.11915928,-0.20574057,0.16867621,-0.23168007,0.37625515,-0.49100265,0.17545846,-0.21445566,-0.38942033,0.11980952
000640,0.29032624,0.24897996,-0.19434291,-0.4148257,-0.23663647,-0.34681374,0.39227274,0.0842988,-0.15593603,0.03914877,0.04973063,-0.326878,-0.3223467,0.069857836,-0.23017776,-0.098330505
000650,0.06526878,-0.21977676,0.24074419,-0.0093663065,-0.13151261,-0.022859456,0.4413877,-0.30737296,0.28199387,-0.19818632,0.4984109,-0.28406933,0.041888196,0.013872836,-0.19598429,0.30660918
000660,-0.09634069,-0.23549692,0.33117777,0.17736086,-0.31421188,-0.060364157,0.4250021,-0.21017273,0.19750537,-0.14525184,0.563951,-0.058524232,0.01034561,-0.15199685,-0.013240692,0.24898602
000670,-0.30050066,-0.36682478,0.25024745,0.34270638,0.12520587,0.22165087,-0.47385085,-0.21750343,0.08455633,0.0052831396,-0.05738968,0.26293588,0.25875106,-0.2846288,0.14671671,-0.09654743
000720,-0.275724,-0.43700993,0.35168877,0.29011247,0.069613874,0.22076824,-0.34458578,-0.28273278,0.14427313,-0.080601275,0.050486263,0.072600365,0.2212532,-0.42954934,0.041891947,-0.050347265
000810,-0.025857113,-0.17525336,0.2990077,0.08130519,-0.32251763,-0.10780755,0.5089119,-0.22360387,0.19090153,-0.13424473,0.53151,-0.16176374,-0.049121723,-0.12325661,-0.06897158,0.24994782
000850,0.27885506,0.3056534,-0.2984571,-0.2729304,0.02049666,-0.20573439,-0.21379939,0.08044097,-0.37174484,0.17505242,-0.48333266,-0.03475329,-0.25109342,-0.0014530122,0.05070809,-0.31787306
000880,-0.39309785,-0.35736814,0.30230954,0.3972927,0.0297621,0.16530862,-0.3487128,-0.19563551,0.09711101,0.049655903,0.008995754,0.31130028,0.19800444,-0.28291604,0.21964842,-0.06375808
0008Z0,0.3024157,0.1484983,-0.032857887,-0.34152102,-0.23344302,-0.2727416,0.45489308,-0.07037903,-0.040725607,-0.07004956,0.23703748,-0.45399335,-0.23350073,-0.06301779,-0.3090322,0.07179915
000910,0.384799,0.19051842,-0.12595347,-0.4812305,0.036405426,-0.11020883,0.12974647,0.23056541,-0.084329516,-0.08120377,0.0032356807,-0.5162337,-0.050239105,0.014313777,-0.4456813,-0.05608478
000950,-0.31253833,-0.44686583,0.3615772,0.33456457,0.051322002,0.21734016,-0.28997052,-0.24677277,0.17546283,-0.0787067,0.122182265,0.12816225,0.24015778,-0.36395684,0.081299566,-0.0047828285
000990,-0.026383627,-0.23631316,0.3171805,0.07332825,-0.22754073,-0.062288783,0.3974327,-0.22326848,0.25487366,-0.16183925,0.57530767,-0.19923097,0.056621432,-0.14370687,-0.131825,0.2663894
0009K0,0.2686799,0.08071697,-0.095212676,-0.18052109,0.36486095,0.36817822,-0.2504736,0.45597515,0.060744315,-0.20788221,-0.046323046,-0.23550116,0.32398102,0.15083072,-0.3286564,0.008560771
001040,-0.29073825,-0.36578324,0.36620274,0.3554141,-0.19342373,0.062274393,0.19424649,-0.13047227,0.24137577,-0.105046414,0.48992923,0.15076004,0.15389939,-0.14501496,0.099701576,0.19619781
001080,0.044306163,-0.20742467,-0.030684505,-0.06270922,0.3082131,0.19966356,-0.6198449,-0.3411582,0.017946586,-0.057872746,-0.36045778,-0.09973991,0.14092517,-0.33412686,-0.059091367,-0.1901023
0010V0,0.33639625,0.021912454,0.040123887,-0.37286267,-0.014971403,-0.1275232,0.18798465,-0.1615272,0.10028063,-0.15494855,0.28290322,-0.5595515,0.04984765,-0.13727562,-0.4508739,0.12645698
001120,-0.19588883,0.12443546,-0.03131897,0.16700907,-0.3897685,-0.35955763,0.17546515,-0.026910251,-0.26523608,0.335011,-0.078948855,0.36891204,-0.31901738,-0.0473049,0.352966,-0.22594385
001130,0.28230077,0.1886961,-0.19371578,-0.24912022,0.32579204,0.29738438,-0.16412838,0.5279293,-0.01710531,-0.14965051,-0.13423586,-0.2161583,0.19252221,0.27062303,-0.29470658,-0.01740075
001140,0.09868447,0.17714493,-0.22120942,-0.059626963,0.085212804,-0.08849497,-0.47320685,-0.09753172,-0.36052516,0.24245976,-0.5199797,0.14795846,-0.1452849,-0.15127702,0.19367619,-0.3087454
001200,-0.30836976,-0.37704262,0.38754985,0.2618652,0.135357,0.30317092,-0.37397,0.009351075,0.18998335,-0.014292965,0.025975142,0.008727718,0.3027799,-0.39563122,-0.055987842,-0.073623486
001270,-0.25680062,-0.34060296,0.35300964,0.35103485,-0.22791776,0.035265096,0.22068578,-0.16929059,0.21049283,-0.101580866,0.51859766,0.14863732,0.12806767,-0.16025545,0.09048062,0.2090877
001290,-0.066725425,-0.25149146,0.31970274,0.13317046,-0.24936645,-0.03730456,0.463542,-0.27613306,0.23458272,-0.13905883,0.53392076,-0.119063854,0.018227769,-0.08195958,-0.0636003,0.27009448
001340,0.33642596,0.26023808,-0.25545213,-0.33531657,0.24894387,0.1465236,-0.053008508,0.5318712,-0.08093235,-0.08687054,-0.16213319,-0.2544465,0.03880709,0.2770995,-0.28908095,-0.07264303
001360,0.2888428,0.16674648,-0.18052097,-0.30356956,0.31438437,0.25247765,-0.17918918,0.4808893,-0.037732992,-0.14198352,-0.14549512,-0.29532874,0.1904612,0.18992572,-0.36448142,-0.053966437
001380,0.12125536,0.2215831,-0.26114574,-0.10821213,0.09236282,-0.09000167,-0.3954726,0.019124866,-0.34960374,0.218323,-0.5706003,0.1179476,-0.18975076,-0.029142475,0.16291267,-0.33183774
001390,0.29910305,0.18789536,-0.1811603,-0.26629713,0.31779864,0.27571797,-0.15294513,0.5164339,-0.01928629,-0.15034589,-0.12389409,-0.2681372,0.1766913,0.2296724,-0.33103126,-0.02475317
001420,0.0581083,0.1337432,-0.16939439,-0.0072792345,0.16431163,0.0612694,-0.56201947,-0.07515983,-0.34018305,0.2059222,-0.5211651,0.18271096,-0.057201833,-0.13586253,0.1857999,-0.27990094
001430,-0.041963447,-0.34365484,0.10326747,0.048861317,0.26002735,0.22074616,-0.54640424,-0.4318723,0.119660065,-0.08993117,-0.19929846,-0.07570229,0.19130301,-0.3834988,-0.033542603,-0.11412428
001440,-0.057234947,-0.27216026,0.29666528,0.08758648,-0.1316557,0.03980835,0.44104242,-0.2637677,0.30150905,-0.15760276,0.53786534,-0.14405829,0.08259651,0.038805585,-0.09842572,0.316461
001450,0.005652736,-0.22286877,-0.040873997,-0.024917366,0.32185894,0.2235458,-0.6318547,-0.3323698,0.05262824,-0.06654862,-0.37567833,-0.04374566,0.1478018,-0.27355912,-0.02013532,-0.19338644
001500,-0.1345182,-0.29250816,0.33813038,0.17857128,-0.18985948,0.0064765,0.41776133,-0.24982221,0.28991845,-0.13834554,0.521093,-0.10352352,0.046826977,-0.069695555,-0.048275538,0.28683057
001510,-0.23203051,-0.4107645,0.4180001,0.23133473,-0.0787382,0.09471377,0.12751643,-0.3827304,0.28798434,-0.10440566,0.3644234,-0.09436741,0.1322135,-0.26900014,-0.0471579,0.20897505
001520,0.17113616,-0.1349203,0.1656781,-0.14740227,-0.077200934,-0.07474184,0.38981283,-0.28185153,0.2713778,-0.19030343,0.44527647,-0.41668636,0.04373435,0.0073995776,-0.30536917,0.28881437
001530,0.340965,0.15530969,-0.15132359,-0.39698502,0.23722623,0.13108853,-0.09370629,0.39213935,-0.047751628,-0.14248574,-0.07996133,-0.42710966,0.13394746,0.09116328,-0.44802058,-0.06882806
001560,0.11170839,0.24529399,-0.26448038,-0.058822457,0.0047341613,-0.15493703,-0.38313413,0.015154853,-0.3660113,0.23071234,-0.51353306,0.18980516,-0.21787292,-0.051221404,0.23517908,-0.3009265
001570,-0.094896786,-0.30441707,0.17365092,0.15314281,0.19779797,0.200041,-0.57465786,-0.32744166,0.013251706,-0.06820219,-0.20878978,0.016667608,0.19531025,-0.46822417,0.010531264,-0.14811645
0015G0,0.14192937,-0.20741545,0.24854863,-0.038706057,-0.19101155,-0.08674811,0.3837938,-0.29303724,0.19061022,-0.2308872,0.5258076,-0.30769357,0.051392958,-0.15759571,-0.23008013,0.23489676
0015N0,0.31402496,0.32378346,-0.08954966,-0.39915618,-0.32901695,-0.41576406,0.2640935,0.060998652,-0.21505846,0.06020966,0.16582526,-0.28591737,-0.21596228,-0.107790954,-0.18664755,-0.14970553
001620,0.007159866,0.07211297,-0.15903752,0.026719367,0.23714353,0.14519556,-0.6284288,-0.014762697,-0.27518508,0.16003618,-0.47552088,0.23009074,0.035660766,-0.09052808,0.18281008,-0.27017644
001720,0.025592636,-0.11096522,0.23783326,-0.03273815,-0.2772175,-0.17153725,0.55619866,-0.20759772,0.20008035,-0.1030209,0.47907886,-0.27902567,-0.09358336,-0.06676935,-0.15548432,0.27433255
001750,-0.054186895,-0.2769429,0.30129328,0.13251868,-0.16135673,0.01519928,0.4257413,-0.31488696,0.27750942,-0.16589658,0.5222519,-0.13522483,0.05741282,-0.012962212,-0.08596208,0.31453356
001820,0.13863829,-0.1771524,0.23022062,-0.054843605,-0.14247636,-0.05024501,0.41607365,-0.31666294,0.2097857,-0.22310993,0.50524306,-0.3419747,0.025837878,-0.0958217,-0.2337097,0.25825465
002020,-0.039526913,-0.1839047,0.28910613,0.12890661,-0.38019124,-0.16560023,0.48553604,-0.2288771,0.10710909,-0.123735994,0.4956036,-0.13572223,-0.07857521,-0.23841563,-0.06941607,0.21367645
002030,-0.25405493,-0.22656286,0.28821987,0.34813812,-0.3335994,-0.08301503,0.23169139,-0.2347753,0.1282294,-0.07014174,0.52249765,0.16084628,0.04820149,-0.24105656,0.12077527,0.24003705
002210,-0.1880874,-0.32035157,0.14558978,0.19618681,0.2434101,0.25795138,-0.5845125,-0.29319,0.07051047,-0.024000313,-0.22038923,0.1528118,0.2305953,-0.3010427,0.09022121,-0.13963658
002230,-0.09201447,-0.33821118,0.3367741,0.20096773,-0.13710056,0.061266318,0.30799618,-0.2504313,0.29522753,-0.21149936,0.55622315,-0.072505,0.13565876,-0.087099984,-0.04335228,0.26232123
002320,-0.09284995,-0.24518819,0.29427078,0.13892055,-0.2291188,-0.0034271404,0.45052534,-0.29093078,0.23120344,-0.11978524,0.5520808,-0.11436285,0.01354128,-0.08085631,-0.063907646,0.29793552
002350,0.051903047,-0.18382758,0.29058108,0.0459482,-0.31364846,-0.1417127,0.45866373,-0.29386115,0.13995434,-0.15868676,0.53789264,-0.1938013,-0.0228013,-0.18059945,-0.11589398,0.20870207
002380,0.199821,0.31887785,-0.13115525,-0.21328491,-0.24647905,-0.35885638,0.16546287,-0.29340622,-0.29747376,0.26941547,-0.2530118,-0.11835853,-0.46536747,-0.036848262,0.13445705,-0.1326612
002390,0.16376945,0.5058757,-0.3640375,-0.06713848,-0.0888711,-0.12091312,0.1464106,0.29490283,-0.25471735,0.19314937,-0.19099985,0.16053854,-0.2871446,0.4151732,0.13718785,-0.10599167
002700,-0.17274399,0.07821057,-0.09335768,0.28580704,0.092643596,0.095503606,-0.44650015,0.0071310927,-0.20731972,0.26087597,-0.32505372,0.5049018,0.024434894,0.056987166,0.39676857,-0.15372315
002795,0.34016907,0.24673192,-0.22318795,-0.32763767,0.25847661,0.17049618,-0.07020749,0.53971416,-0.06774596,-0.0972477,-0.15002424,-0.2579489,0.07476552,0.26744986,-0.2994428,-0.06536486
002810,-0.028436089,0.1177799,-0.18191907,0.050700888,0.1958328,0.09880285,-0.56743354,0.014759003,-0.28637207,0.21425949,-0.4941774,0.28337404,-0.02045494,-0.03617903,0.23414627,-0.26525986
002880,0.10942807,0.23550549,-0.25401425,-0.10309804,0.08800473,-0.097230665,-0.38755846,0.017522885,-0.34553465,0.23762271,-0.5705796,0.121581174,-0.19425479,-0.033276916,0.17412548,-0.32301596
002900,0.15266287,0.3112435,-0.28871697,-0.19928299,-0.06826642,-0.26039246,-0.12454014,0.00766756,-0.3625873,0.26226503,-0.47500244,0.066690214,-0.35139278,0.019978024,0.1624405,-0.29686102
002920,0.08954538,0.19894849,-0.21657084,-0.07809768,0.13588671,-0.013630035,-0.4866559,-0.037309043,-0.3564982,0.23109671,-0.55283755,0.13669312,-0.123992294,-0.09724922,0.16161641,-0.29455
002990,0.015928792,-0.3377756,0.3295414,-0.012337093,-0.1410453,-0.022976454,0.17991729,-0.18656678,0.20995326,-0.23128377,0.50011516,-0.3248493,0.16137902,-0.34565425,-0.2879122,0.08761723
003010,0.040805463,-0.015177515,-0.070421755,-0.068875015,0.06978521,-0.10052136,-0.5043913,-0.2958818,-0.27744812,0.17404741,-0.4607951,0.013929707,-0.13787016,-0.39722148,0.098771356,-0.3537307
003060,0.36521778,0.11863897,-0.097868204,-0.3799553,0.23025884,0.13377827,-0.08372364,0.27458003,0.055372164,-0.19916773,0.044820957,-0.48200783,0.19396129,0.050233725,-0.47676173,0.027503207
