source,target
0,78
78,0
0,64
64,0
0,60
60,0
6,56
56,6
6,57
57,6
7,41
41,7
7,49
49,7
7,66
66,7
8,52
52,8
11,41
41,11
11,57
57,11
11,49
49,11
11,66
66,11
12,46
46,12
13,78
78,13
15,76
76,15
16,58
58,16
16,77
77,16
16,45
45,16
16,83
83,16
18,86
86,18
20,88
88,20
20,55
55,20
21,50
50,21
21,84
84,21
22,86
86,22
24,47
47,24
26,62
62,26
26,63
63,26
27,61
61,27
28,43
43,28
29,74
74,29
29,42
42,29
29,53
53,29
29,72
72,29
29,68
68,29
31,56
56,31
31,75
75,31
32,85
85,32
32,73
73,32
32,65
65,32
32,54
54,32
32,70
70,32
32,40
40,32
32,48
48,32
32,79
79,32
32,71
71,32
32,67
67,32
32,61
61,32
32,51
51,32
32,69
69,32
32,81
81,32
33,44
44,33
33,80
80,33
33,82
82,33
33,57
57,33
35,87
87,35
36,59
59,36
36,70
70,36
36,72
72,36
38,72
72,38
